App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
dataset,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,19,15,0,0,0,0,0,0,0,0,0,0,0,0,18,87,3,0,0,0,18,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestSubjectParser.java,DATASET/a.scellini_studenti.unina.it_TestTestSubjectParser.java,ProductionFile/SubjectParser.java,,,16,11,0,0,0,0,0,0,0,0,0,0,0,0,11,47,0,0,0,0,16,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,19,15,0,0,0,0,0,0,0,0,0,0,0,0,18,87,3,0,0,0,18,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestTennisScoreManager.java,DATASET/a.scellini_studenti.unina.it_TestTestTennisScoreManager.java,ProductionFile/TennisScoreManager.java,,,18,3,11,0,0,0,0,0,0,0,0,0,0,0,18,63,0,0,0,0,18,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,19,15,0,0,0,0,0,0,0,0,0,0,0,0,18,87,3,0,0,0,18,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,19,15,0,0,0,0,0,0,0,0,0,0,0,0,18,87,3,0,0,0,18,0
dataset,DATASET/ag.cerullo_studenti.unina.it_TestTestHSLColor.java,DATASET/ag.cerullo_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,25,17,0,0,0,0,5,0,0,0,0,0,0,0,25,88,0,0,0,0,25,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,19,15,0,0,0,0,0,0,0,0,0,0,0,0,18,87,3,0,0,0,18,0
dataset,DATASET/ag.cerullo_studenti.unina.it_TestTestSubjectParser.java,DATASET/ag.cerullo_studenti.unina.it_TestTestSubjectParser.java,ProductionFile/SubjectParser.java,,,18,7,0,0,0,0,0,0,0,0,0,0,0,0,8,26,0,0,0,0,18,0
dataset,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,DATASET/a.scellini_studenti.unina.it_TestTestHSLColor.java,ProductionFile/HSLColor.java,,,19,15,0,0,0,0,0,0,0,0,0,0,0,0,18,87,3,0,0,0,18,0
